Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_359:0000096,DroHard_E_1to9,,,,Standard,,ISU,Laura Marek,,EN,Sunflower,CO_359:0000014,Drought susceptibility,Abiotic stress,Plant reaction to drought stress,DROUGHT,DroSus,,Plant,Drought susceptibility,Standard,,CO_359:0000095,trichomes/mm,Estimation,Observe the growth of plants per plot/entry under droughted condition and rate the susceptibility.,,,CO_359:0000086,ISU Susceptibility scale (1-9),Ordinal,,,,,"1 (1=resistant, 9=susceptible)","2 (1=resistant, 9=susceptible)","3 (1=resistant, 9=susceptible)","4 (1=resistant, 9=susceptible)","5 (1=resistant, 9=susceptible)","6 (1=resistant, 9=susceptible)","7 (1=resistant, 9=susceptible)","8 (1=resistant, 9=susceptible)","9 (1=resistant, 9=susceptible)",
,CO_359:0000100,ColdHard_E_1to9,,,,Standard,,ISU,Laura Marek,,EN,Sunflower,CO_359:0000097,Plant hardiness,Abiotic stress,Cold hardiness,COLD_HARD,ColdHard,,Plant,Cold hardiness,Standard,,CO_359:0000098,Cold hardiness susceptibility class,Estimation,"Cold hardiness (1=resistant, 9=susceptible)",,,CO_359:0000099,ISU Cold hardiness susceptibility scale,Ordinal,,,,,"1 (1=resistant, 9=susceptible)","2 (1=resistant, 9=susceptible)","3 (1=resistant, 9=susceptible)","4 (1=resistant, 9=susceptible)","5 (1=resistant, 9=susceptible)","6 (1=resistant, 9=susceptible)","7 (1=resistant, 9=susceptible)","8 (1=resistant, 9=susceptible)","9 (1=resistant, 9=susceptible)",
,CO_359:0000102,SaltTol_E_cat,,,,Standard,,ISU,Laura Marek,,EN,Sunflower,CO_359:0000041,Salinity tolerance,Abiotic stress,Determination of tolerance to soil salinity,SALT_TOL,SaltSus,,Plant,Salinity susceptibility,Standard,,CO_359:0000058,Salinity tolerance class,Estimation,Observe the growth of plants per plot/entry at the field presenting soil salinity and rate the tolerance.,,,CO_359:0000101,ISU Salinity tolerance scale,Nominal,,,,,susceptible,tolerant,,,,,,,,
,CO_359:0000104,DroSus_E_0to9,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000014,Drought susceptibility,Abiotic stress,Plant reaction to drought stress,DROUGHT,DroSus,,Plant,Drought susceptibility,Standard,,CO_359:0000103,Drought susceptibility class,Estimation,Observe the growth of plants per plot/entry under droughted condition and rate the susceptibility.,,IBPGR-Descriptors,CO_359:0000074,IBPGR Susceptibility scale (0-9),Ordinal,,,,,0= Absent,1= Very low or no visible sign of susceptibility,2= Very low to low susceptibility,3= Low susceptibility,4= Low to intermediate susceptibility,5= Intermediate susceptibility,6= Intermediate to high susceptibility,7= High susceptibility,8= High to very high susceptibility,9= Very high susceptibility
,CO_359:0000107,SAcidSus_E_0to9,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000105,High soil acidity susceptibility,Abiotic stress,Plants reaction or susceptibility to high soil acidity,,SAcidSus,,Plant,High soil acidity susceptibility,,,CO_359:0000106,High soil acidity susceptibility class,Estimation,Observe the growth of plants per plot/entry at high soil acidity conditions and rate the susceptibility.,,IBPGR-Descriptors,CO_359:0000074,IBPGR Susceptibility scale (0-9),Ordinal,,,,,0= Absent,1= Very low or no visible sign of susceptibility,2= Very low to low susceptibility,3= Low susceptibility,4= Low to intermediate susceptibility,5= Intermediate susceptibility,6= Intermediate to high susceptibility,7= High susceptibility,8= High to very high susceptibility,9= Very high susceptibility
,CO_359:0000110,HiTmpSus_E_0to9,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000108,High temperature susceptibility,Abiotic stress,Plants reaction or susceptibility to high temperature conditions,,HiTmpSus,,Plant,High temperature susceptibility,,,CO_359:0000109,High temperature susceptibility class,Estimation,Observe the growth of plants per plot/entry under heat condition and rate the susceptibility.,,IBPGR-Descriptors,CO_359:0000074,IBPGR Susceptibility scale (0-9),Ordinal,,,,,0= Absent,1= Very low or no visible sign of susceptibility,2= Very low to low susceptibility,3= Low susceptibility,4= Low to intermediate susceptibility,5= Intermediate susceptibility,6= Intermediate to high susceptibility,7= High susceptibility,8= High to very high susceptibility,9= Very high susceptibility
,CO_359:0000113,LowTmpSus_E_0to9,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000111,Low temperature susceptibility,Abiotic stress,Plant reaction to low temperature conditions,,LowTmpSus,,Plant,Low temperature susceptibility,,,CO_359:0000112,Low temperature susceptibility class,Estimation,Observe the growth of plants per plot/entry under low temperature condition and rate the susceptibility.,,IBPGR-Descriptors,CO_359:0000074,IBPGR Susceptibility scale (0-9),Ordinal,,,,,0= Absent,1= Very low or no visible sign of susceptibility,2= Very low to low susceptibility,3= Low susceptibility,4= Low to intermediate susceptibility,5= Intermediate susceptibility,6= Intermediate to high susceptibility,7= High susceptibility,8= High to very high susceptibility,9= Very high susceptibility
,CO_359:0000115,SaltTol_E_1to5,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000041,Salinity tolerance,Abiotic stress,Determination of tolerance to soil salinity,SALT_TOL,SaltSus,,Plant,Salinity susceptibility,Standard,,CO_359:0000058,Salinity tolerance class,Estimation,Observe the growth of plants per plot/entry at the field presenting soil salinity and rate the tolerance.,,,CO_359:0000114,IBP Tolerance scale (1-5),Ordinal,,,,,1= highly susceptible,2= susceptible,3= intermediate,4= tolerant,5= highly tolerant,,,,,
,CO_359:0000117,SaltSus_E_0to9,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000041,Salinity tolerance,Abiotic stress,Determination of tolerance to soil salinity,SALT_TOL,SaltSus,,Plant,Salinity susceptibility,Standard,,CO_359:0000116,Salinity susceptibility class,Estimation,Observe the growth of plants per plot/entry at the field presenting soil salinity and rate the susceptibility.,,IBPGR-Descriptors,CO_359:0000074,IBPGR Susceptibility scale (0-9),Ordinal,,,,,0= Absent,1= Very low or no visible sign of susceptibility,2= Very low to low susceptibility,3= Low susceptibility,4= Low to intermediate susceptibility,5= Intermediate susceptibility,6= Intermediate to high susceptibility,7= High susceptibility,8= High to very high susceptibility,9= Very high susceptibility
,CO_359:0000120,WtrLogSus_E_0to9,,Trial evaluation,,,,IBP,Julian Pietragalla,,EN,Sunflower,CO_359:0000118,Waterlogging susceptibility,Abiotic stress,Susceptibility to waterlogging under high soil moisture conditions,High soil moisture susceptibility,WtrLogSus,,Plant,Waterlogging susceptibility,,,CO_359:0000119,Waterlogging susceptibility class,Estimation,Observe the growth of plants per plot/entry under high soil moisture condition and rate the susceptibility.,,IBPGR-Descriptors,CO_359:0000074,IBPGR Susceptibility scale (0-9),Ordinal,,,,,0= Absent,1= Very low or no visible sign of susceptibility,2= Very low to low susceptibility,3= Low susceptibility,4= Low to intermediate susceptibility,5= Intermediate susceptibility,6= Intermediate to high susceptibility,7= High susceptibility,8= High to very high susceptibility,9= Very high susceptibility
